Ticket_Subject,Ticket_Description,Product_Purchased,Ticket_Channel,Ticket_Type,Customer_Age,Ticket_Priority
Falha no Tablet Samsung,Tablet Samsung defeituoso.,Tablet Samsung,Telefone,Problema Técnico,58,Alta
Computador Desktop quebrou - sem produtividade,Equipamento danificado.,Computador Desktop,Email,Reclamação,68,Alta
URGENTE - Aquecedor a Gás,Defeito visível.,Aquecedor a Gás,Telefone,Dúvida,44,Alta
Problema no Samsung Galaxy S23 - reunião amanhã,"O Samsung Galaxy S23 emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Samsung Galaxy S23,Chat,Solicitação de reembolso,64,Alta
Computador Desktop tela quebrada - urgente,O Computador Desktop parou do nada sem nenhuma queda ou impacto visível. Já fiz todos os procedimentos indicados no manual sem qualquer resultado positivo. Preciso de visita técnica domiciliar.,Computador Desktop,Chat,Solicitação de reembolso,58,Alta
Como usar Amazon Kindle,O Amazon Kindle com tela com riscos profundos visíveis. Solicito reparo ou troca em garantia.,Amazon Kindle,Telefone,Solicitação de reembolso,70,Alta
Defeito,nao tá bom,Purificador de Água,Telefone,Reclamação,84,Média
Dúvida sobre Smartwatch Garmin,O Smartwatch Garmin com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Smartwatch Garmin,Telefone,Solicitação de reembolso,36,Média
Defeito no Tablet Samsung,O Tablet Samsung falhou completamente após atualização automática de firmware. Não consigo acessar o menu para reverter a versão. Preciso de suporte técnico remoto especializado com urgência total.,Tablet Samsung,Email,Cancelamento,32,Baixa
Não funciona,produto pessimo,Máquina de Lavar,Chat,Dúvida,67,Média
URGENTE - Freezer,Produto quebrado.,Freezer,Chat,Dúvida,67,Alta
Monitor LG 27 não funciona,O Monitor LG 27 com falha total inesperada. Preciso de assistência técnica com urgência máxima possível.,Monitor LG 27,Chat,Problema Técnico,46,Alta
MacBook Pro tela quebrada - urgente,O MacBook Pro desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,MacBook Pro,Email,Dúvida,24,Baixa
Máquina de Lavar com vazamento perigoso,O Máquina de Lavar chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Máquina de Lavar,Chat,Solicitação de reembolso,21,Alta
Defeito no Aspirador Dyson,O Aspirador Dyson apresenta erro crítico na tela desde a última atualização automática de firmware.,Aspirador Dyson,Email,Solicitação de reembolso,45,Média
Atendimento,isso nao presta,Soundbar Sony,Email,Problema Técnico,31,Média
MacBook Air quebrou - sem produtividade,Fui cobrado indevidamente pela manutenção do MacBook Air que foi cancelada há mais de dois meses.,MacBook Air,Email,Dúvida,77,Média
Help,ta tudo errado,Controle Xbox,Email,Solicitação de reembolso,38,Média
Computador Desktop tela quebrada - urgente,Computador Desktop apagado.,Computador Desktop,Telefone,Problema Técnico,53,Urgente
Defeito crítico no Purificador de Água,Fui cobrado indevidamente pela manutenção do Purificador de Água que foi cancelada há mais de dois meses.,Purificador de Água,Email,Dúvida,55,Média
Assistência Impressora HP,O Impressora HP com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Impressora HP,Telefone,Solicitação de reembolso,64,Alta
Preciso de ajuda,nao tá bom,iPhone 13,Email,Dúvida,19,Baixa
Manutenção Smart TV Samsung 55,O Smart TV Samsung 55 parou de funcionar completamente. Tenho crianças em casa que dependem do equipamento diariamente.,Smart TV Samsung 55,Email,Reclamação,74,Alta
Manutenção Tablet Samsung,Solicitei cancelamento do Tablet Samsung e continuo sendo cobrado indevidamente mês após mês.,Tablet Samsung,Telefone,Problema Técnico,63,Urgente
Não funciona,to com raiva,Smartwatch Garmin,Telefone,Problema Técnico,28,Baixa
Aquecedor a Gás parou - urgente,O Aquecedor a Gás com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Aquecedor a Gás,Chat,Solicitação de reembolso,53,Alta
Lavadora a Pressão com vazamento perigoso,Lavadora a Pressão parou de vez.,Lavadora a Pressão,Telefone,Reclamação,36,Urgente
Samsung Galaxy S23 tela quebrada - urgente,O Samsung Galaxy S23 com tampa ou porta emperrada. Não abre nem fecha de forma correta mais.,Samsung Galaxy S23,Telefone,Problema Técnico,41,Urgente
Defeito no Tablet Samsung,O Tablet Samsung com touchscreen sem resposta na parte inferior da tela durante o uso.,Tablet Samsung,Chat,Problema Técnico,47,Alta
Problema no iPhone 13 - reunião amanhã,O iPhone 13 com touchscreen sem resposta na parte inferior da tela durante o uso.,iPhone 13,Email,Problema Técnico,63,Alta
Emergência: Máquina de Lavar não funciona,Em apenas três semanas o Máquina de Lavar já deu problema duas vezes. A primeira vez resolveu sozinho mas agora parou definitivamente. Quero troca imediata ou reembolso total do valor pago.,Máquina de Lavar,Email,Solicitação de reembolso,31,Alta
Tablet Samsung não funciona,O Tablet Samsung caiu e a tela quebrou parcialmente. Ainda funciona mas está inutilizável profissionalmente. É minha principal ferramenta de trabalho. Preciso saber sobre cobertura de garantia.,Tablet Samsung,Telefone,Problema Técnico,48,Alta
Dúvida técnica Controle Xbox,"O Controle Xbox emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Controle Xbox,Chat,Cancelamento,27,Baixa
Defeito no Micro-ondas - home office,O Micro-ondas com tela completamente preta mas com som funcionando. Possível defeito de placa de vídeo.,Micro-ondas,Telefone,Dúvida,64,Alta
Reparo: Roteador Wi-Fi,O Roteador Wi-Fi descarrega em menos de uma hora de uso leve. Comprei há cinco meses. Já calibrei a bateria conforme o manual mas o problema se manteve exatamente igual.,Roteador Wi-Fi,Chat,Solicitação de reembolso,21,Média
Preciso de ajuda,manda tecnico,Máquina de Lavar,Chat,Reclamação,21,Baixa
Defeito,isso nao presta,Smart TV Samsung 55,Chat,Dúvida,62,Média
Emergência: Máquina de Lavar não funciona,O Máquina de Lavar está superaquecendo e desligando automaticamente após poucos minutos de uso normal.,Máquina de Lavar,Email,Reclamação,66,Alta
Problema no Samsung Galaxy S23 - reunião amanhã,O Samsung Galaxy S23 com consumo de energia absurdamente alto. Minha conta de luz praticamente dobrou.,Samsung Galaxy S23,Chat,Dúvida,71,Média
Fogão 5 Bocas com vazamento perigoso,O Fogão 5 Bocas não acessa mais a internet mesmo estando conectado normalmente à rede Wi-Fi.,Fogão 5 Bocas,Email,Dúvida,24,Média
Garantia do Câmera GoPro Hero,Produto com problema.,Câmera GoPro Hero,Chat,Solicitação de reembolso,52,Média
Defeito no MacBook Air - home office,O MacBook Air com bateria descarregando muito mais rápido do que o esperado e prometido.,MacBook Air,Email,Solicitação de reembolso,49,Média
Como usar Nintendo Switch,O Nintendo Switch emite faíscas quando é plugado na tomada elétrica. Desliguei imediatamente por risco de incêndio. Tenho filhos pequenos em casa e preciso de atendimento emergencial hoje.,Nintendo Switch,Chat,Problema Técnico,48,Alta
Smart TV LG 50 com problema técnico,O Smart TV LG 50 com defeito visível após apenas um mês de uso regular e dentro da garantia.,Smart TV LG 50,Chat,Solicitação de reembolso,82,Alta
Garantia do PlayStation 5,Fui cobrado indevidamente pela manutenção do PlayStation 5 que foi cancelada há mais de dois meses.,PlayStation 5,Email,Cancelamento,71,Baixa
Lavadora a Pressão com vazamento perigoso,O Lavadora a Pressão com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,Lavadora a Pressão,Email,Reclamação,70,Alta
Defeito crítico no Lavadora a Pressão,O Lavadora a Pressão com tela quebrada após queda leve. É minha principal ferramenta de trabalho profissional.,Lavadora a Pressão,Email,Solicitação de reembolso,61,Alta
Purificador de Água com vazamento perigoso,O Purificador de Água com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Purificador de Água,Chat,Dúvida,36,Média
Notebook Dell XPS não liga - prazo em risco,O Notebook Dell XPS com tela quebrada após queda leve. É minha principal ferramenta de trabalho profissional.,Notebook Dell XPS,Email,Cancelamento,19,Média
Smart TV LG 50 com problema técnico,O Smart TV LG 50 não carrega mais de jeito nenhum. Trabalho em home office e preciso dele urgentemente.,Smart TV LG 50,Chat,Dúvida,78,Média
Emergência: Máquina de Lavar não funciona,O Máquina de Lavar não carrega mais de jeito nenhum. Trabalho em home office e preciso dele urgentemente.,Máquina de Lavar,Email,Problema Técnico,39,Alta
Info sobre Amazon Kindle,O Amazon Kindle não carrega mais de jeito nenhum. Trabalho em home office e preciso dele urgentemente.,Amazon Kindle,Email,Cancelamento,72,Baixa
Impressora HP com problema técnico,O Impressora HP caiu e a tela quebrou parcialmente. Ainda funciona mas está inutilizável profissionalmente. É minha principal ferramenta de trabalho. Preciso saber sobre cobertura de garantia.,Impressora HP,Email,Reclamação,55,Média
Problema,parou do nada,Aspirador Dyson,Email,Dúvida,31,Média
Caixa de Som JBL com defeito intermitente,"O Caixa de Som JBL emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Caixa de Som JBL,Email,Cancelamento,75,Média
Preciso de ajuda,fkfemv r,PlayStation 5,Email,Reclamação,83,Média
Info sobre Câmera Canon EOS,Recebi o Câmera Canon EOS com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Câmera Canon EOS,Email,Cancelamento,66,Baixa
MacBook Pro travado - trabalho parado,O MacBook Pro com bateria descarregando muito mais rápido do que o esperado e prometido.,MacBook Pro,Chat,Dúvida,53,Média
Atendimento,help,Airfryer Philips,Chat,Problema Técnico,84,Baixa
Reparo: Soundbar Sony,O Soundbar Sony parou no meio do ciclo de uso e não reinicia de forma alguma agora.,Soundbar Sony,Chat,Cancelamento,58,Média
Máquina de Lavar causando risco,O Máquina de Lavar com tela com riscos profundos visíveis. Solicito reparo ou troca em garantia.,Máquina de Lavar,Email,Reclamação,73,Alta
Info sobre Controle Xbox,"O Controle Xbox emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Controle Xbox,Email,Solicitação de reembolso,30,Baixa
iPhone 14 quebrou - sem produtividade,O iPhone 14 com bateria descarregando muito mais rápido do que o esperado e prometido.,iPhone 14,Telefone,Solicitação de reembolso,80,Alta
iPhone 14 não liga - prazo em risco,O iPhone 14 com imagem desfocada e distorcida mesmo após todos os ajustes manuais possíveis.,iPhone 14,Chat,Solicitação de reembolso,31,Alta
Urgente,me liguem rápido,Notebook Lenovo,Telefone,Reclamação,83,Média
Urgente: Máquina de Lavar com risco de incêndio,O Máquina de Lavar com som completamente distorcido e alto. Incomoda os vizinhos e é insuportável.,Máquina de Lavar,Email,Dúvida,42,Média
URGENTE - Fogão,O Fogão apresenta erro E5 no display e não executa mais nenhuma função disponível.,Fogão,Chat,Solicitação de reembolso,72,Alta
Emergência: Lavadora a Pressão não funciona,Recebi o Lavadora a Pressão com embalagem completamente avariada. O produto chegou com danos físicos visíveis externos.,Lavadora a Pressão,Email,Solicitação de reembolso,32,Alta
Assistência Soundbar Sony,O Soundbar Sony com consumo de energia absurdamente alto. Minha conta de luz praticamente dobrou.,Soundbar Sony,Chat,Problema Técnico,35,Alta
Emergência: Fogão 5 Bocas não funciona,Fogão 5 Bocas tela preta.,Fogão 5 Bocas,Email,Problema Técnico,46,Alta
iPhone 14 tela quebrada - urgente,O iPhone 14 não lê mais nenhum tipo de mídia inserida nele. Totalmente inoperante.,iPhone 14,Chat,Solicitação de reembolso,76,Alta
Dúvida sobre Amazon Kindle,O Amazon Kindle superaquecendo de forma intensa. Fica extremamente quente em menos de cinco minutos de uso.,Amazon Kindle,Email,Problema Técnico,58,Média
Problema grave no Bebedouro,O Bebedouro está com tela totalmente preta mas com som funcionando normalmente. Testei monitor externo mas sem sinal de vídeo algum. É ferramenta de trabalho e estou sem renda.,Bebedouro,Email,Dúvida,58,Média
Garantia do Smartwatch Garmin,Smartwatch Garmin parou.,Smartwatch Garmin,Email,Problema Técnico,19,Média
Câmera Canon EOS com comportamento estranho,O Câmera Canon EOS não acessa mais a internet mesmo estando conectado normalmente à rede Wi-Fi.,Câmera Canon EOS,Chat,Reclamação,43,Média
Defeito no Micro-ondas - home office,O Micro-ondas não carrega mais de jeito nenhum. Trabalho em home office e preciso dele urgentemente.,Micro-ondas,Chat,Reclamação,81,Alta
Notebook Dell XPS tela quebrada - urgente,Notebook Dell XPS muito lento.,Notebook Dell XPS,Email,Problema Técnico,84,Alta
Geladeira com faísca elétrica,Geladeira com defeito grave.,Geladeira,Chat,Cancelamento,44,Alta
Smart TV LG 50 apresenta defeito,O Smart TV LG 50 com botão físico principal travado. Não responde a nenhuma tentativa de acionamento.,Smart TV LG 50,Email,Dúvida,66,Baixa
Caixa de Som JBL não funciona,"O Caixa de Som JBL emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Caixa de Som JBL,Chat,Reclamação,56,Alta
Como usar Xbox Series X,"O Xbox Series X emitindo ruído alto e vibração intensa, completamente fora do comportamento normal esperado.",Xbox Series X,Chat,Cancelamento,63,Média
URGENTE - Bebedouro,Bebedouro tela preta.,Bebedouro,Telefone,Solicitação de reembolso,71,Urgente
Computador Desktop quebrou - sem produtividade,Computador Desktop tela preta.,Computador Desktop,Email,Problema Técnico,40,Alta
URGENTE - Fogão 5 Bocas,O Fogão 5 Bocas está com tela totalmente preta mas com som funcionando normalmente. Testei monitor externo mas sem sinal de vídeo algum. É ferramenta de trabalho e estou sem renda.,Fogão 5 Bocas,Chat,Cancelamento,34,Alta
Xbox Series X com comportamento estranho,O Xbox Series X com tela com riscos profundos visíveis. Solicito reparo ou troca em garantia.,Xbox Series X,Email,Reclamação,21,Média
Atendimento,ignorando meu caso,Amazon Kindle,Telefone,Cancelamento,25,Baixa
Smart TV Samsung 55 com defeito intermitente,O Smart TV Samsung 55 superaquece e desliga automaticamente após poucos minutos de uso. Já entrei em contato pelo chat mas sem solução. Solicito troca imediata por produto novo sem defeito.,Smart TV Samsung 55,Chat,Cancelamento,72,Média
Urgente: Freezer com risco de incêndio,Freezer queimando.,Freezer,Chat,Reclamação,61,Urgente
Tablet Samsung inoperante,Tablet Samsung muito lento.,Tablet Samsung,Chat,Dúvida,39,Baixa
Fogão 5 Bocas com faísca elétrica,O Fogão 5 Bocas para de responder ao toque após aproximadamente trinta minutos de uso normal. Já reinstalei o sistema operacional duas vezes completas e o comportamento persiste sem mudança.,Fogão 5 Bocas,Email,Dúvida,60,Média
Fone Bluetooth JBL com falha leve,O Fone Bluetooth JBL chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Fone Bluetooth JBL,Telefone,Problema Técnico,66,Alta
Defeito no Aspirador Dyson,O Aspirador Dyson apresenta erro E5 no display e não executa mais nenhuma função disponível.,Aspirador Dyson,Email,Dúvida,26,Baixa
Problema no iPad Pro - reunião amanhã,O iPad Pro reiniciando em loop contínuo e sem parar. Não consigo usar de jeito algum.,iPad Pro,Chat,Reclamação,38,Alta
Defeito no Samsung Galaxy S23 - home office,"O Samsung Galaxy S23 reinicia em loop contínuo e sem parar. Aguardei a bateria descarregar completamente e recarreguei do zero, mas o ciclo de reinicialização continua exatamente da mesma forma.",Samsung Galaxy S23,Chat,Reclamação,65,Alta
Problema,me liguem rápido,iPad Pro,Chat,Reclamação,19,Média
Problema,asdasdasd,Câmera GoPro Hero,Telefone,Cancelamento,80,Média
MacBook Air travado - trabalho parado,O MacBook Air com tela com riscos profundos visíveis. Solicito reparo ou troca em garantia.,MacBook Air,Chat,Reclamação,49,Alta
Fogão 5 Bocas com faísca elétrica,Fogão 5 Bocas apagado.,Fogão 5 Bocas,Email,Cancelamento,69,Alta
Urgente: Purificador de Água com risco de incêndio,Purificador de Água não funciona mais.,Purificador de Água,Telefone,Dúvida,71,Alta
Dúvida técnica Fone Bluetooth JBL,"O Fone Bluetooth JBL está travando constantemente durante qualquer tipo de uso, mesmo o mais básico.",Fone Bluetooth JBL,Email,Reclamação,30,Média
Defeito no Airfryer Philips,O Airfryer Philips desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,Airfryer Philips,Email,Cancelamento,83,Média
Notebook Lenovo tela quebrada - urgente,Comprei o Notebook Lenovo como presente e ao abrir a caixa já estava com tela trincada internamente. A loja recusa troca. Preciso de laudo técnico do fabricante para comprovar defeito.,Notebook Lenovo,Chat,Problema Técnico,51,Alta
Garantia do PlayStation 5,"O PlayStation 5 reinicia em loop contínuo e sem parar. Aguardei a bateria descarregar completamente e recarreguei do zero, mas o ciclo de reinicialização continua exatamente da mesma forma.",PlayStation 5,Chat,Cancelamento,29,Baixa
Garantia do Smartwatch Garmin,Recebi o Smartwatch Garmin com embalagem danificada e produto com riscos visíveis. Ao ligar apresentou erro de inicialização logo de cara. Solicito troca pois chegou com defeito de fábrica.,Smartwatch Garmin,Chat,Solicitação de reembolso,82,Média
Fogão causando risco,O Fogão com touchscreen sem resposta na parte inferior da tela durante o uso.,Fogão,Email,Cancelamento,65,Alta
Bebedouro com cheiro de queimado,Técnico realizou manutenção no Bebedouro mas o mesmo defeito voltou no dia seguinte.,Bebedouro,Chat,Dúvida,21,Média
Samsung Galaxy S23 tela quebrada - urgente,O Samsung Galaxy S23 desligando sozinho várias vezes ao dia sem nenhum motivo aparente ou justificável.,Samsung Galaxy S23,Chat,Cancelamento,31,Média
Atendimento,asdasdasd,Aspirador Dyson,Telefone,Problema Técnico,30,Baixa
Dúvida técnica Xbox Series X,Xbox Series X emperrado.,Xbox Series X,Email,Problema Técnico,36,Média
Dúvida sobre Câmera GoPro Hero,Técnico realizou manutenção no Câmera GoPro Hero mas o mesmo defeito voltou no dia seguinte.,Câmera GoPro Hero,Email,Dúvida,47,Baixa
Urgente,tá tudo quebrado,Xbox Series X,Chat,Solicitação de reembolso,61,Baixa
Garantia do Controle Xbox,O Controle Xbox com porta de conexão USB danificada. Nenhum dispositivo conecta mais corretamente.,Controle Xbox,Email,Problema Técnico,52,Média
Suporte,entregaram errado,Smartwatch Garmin,Email,Dúvida,81,Baixa
Nintendo Switch com falha leve,O Nintendo Switch superaquecendo de forma intensa. Fica extremamente quente em menos de cinco minutos de uso.,Nintendo Switch,Email,Dúvida,28,Baixa
Aquecedor a Gás causando risco,O Aquecedor a Gás não lê mais nenhum tipo de mídia inserida nele. Totalmente inoperante.,Aquecedor a Gás,Chat,Problema Técnico,38,Urgente
Urgente: Fogão 5 Bocas com risco de incêndio,Solicitei o cancelamento do contrato de assistência do Fogão 5 Bocas há quinze dias e continuo sendo cobrado indevidamente. Já enviei três emails sem resposta. Vou acionar o Procon.,Fogão 5 Bocas,Telefone,Cancelamento,32,Alta
Reparo: Soundbar Sony,O Soundbar Sony não lê mais nenhum tipo de mídia inserida nele. Totalmente inoperante.,Soundbar Sony,Chat,Dúvida,80,Média
Smartwatch Garmin com falha leve,"O Smartwatch Garmin reinicia em loop contínuo e sem parar. Aguardei a bateria descarregar completamente e recarreguei do zero, mas o ciclo de reinicialização continua exatamente da mesma forma.",Smartwatch Garmin,Chat,Problema Técnico,55,Alta
Defeito no MacBook Air - home office,O MacBook Air com display completamente apagado e sem resposta alguma a qualquer controle.,MacBook Air,Email,Solicitação de reembolso,84,Alta
Não funciona,bugou,Roteador Wi-Fi,Chat,Reclamação,36,Baixa
Problemas,nao sei o que houve,Roteador Wi-Fi,Chat,Solicitação de reembolso,78,Média
Defeito crítico no Lavadora a Pressão,O Lavadora a Pressão com tela completamente preta mas com som funcionando. Possível defeito de placa de vídeo.,Lavadora a Pressão,Telefone,Cancelamento,19,Alta
Defeito no MacBook Pro - home office,Meu MacBook Pro não reconhece mais nenhum dos acessórios oficiais conectados a ele. Já testei acessórios diferentes e o problema persiste em todos. É minha ferramenta principal de trabalho.,MacBook Pro,Telefone,Problema Técnico,18,Urgente
Defeito no Notebook Dell XPS - home office,O Notebook Dell XPS travou completamente e não consigo acessar nenhum arquivo importante de trabalho salvo.,Notebook Dell XPS,Telefone,Problema Técnico,76,Urgente
Emergência: Freezer não funciona,Defeito visível.,Freezer,Email,Dúvida,38,Média
Defeito,sdfsdfsdfs,Smartwatch Garmin,Email,Solicitação de reembolso,19,Baixa
Soundbar Sony apresenta defeito,O Soundbar Sony chegou completamente amassado pelos correios com estrutura danificada. Ao ligar pela primeira vez não funciona corretamente. Quero reembolso integral ou troca por produto novo.,Soundbar Sony,Email,Solicitação de reembolso,65,Média
